Time,Fx,Fy,Fz,Tx,Ty,Tz,
8.4,-91.00575,19.76859,274.1596,1.319339,-22.60222,6.686767, 
8.5,-39.74869,-2.70725,301.2793,3.2861,-8.752996,9.844336, 
8.6,-48.68936,9.827275,240.8193,1.667027,-18.3529,11.67864, 
8.7,-64.29119,18.8416,209.1248,0.798907,-27.2789,8.426354, 
8.8,-73.22429,9.111925,206.3051,2.502462,-29.76918,9.496928, 
8.9,-71.26872,12.87624,207.9314,1.687976,-28.34186,9.717, 
9,-68.77901,11.34059,207.763,2.17545,-28.00102,10.19514, 
9.1,-69.45976,11.87129,207.243,2.009102,-28.60165,9.770998, 
9.2,-68.05727,12.17271,206.4926,2.033658,-28.15749,9.600132, 
9.3,-67.92465,12.29858,207.5485,1.794837,-28.19682,9.815603, 
9.4,-67.91845,11.87683,207.3262,2.022897,-28.10535,9.835625, 
9.5,-69.23489,11.7713,207.9068,2.16422,-28.463,9.722309, 
9.6,-68.1769,11.78238,207.179,2.132706,-27.99823,10.02625, 
9.7,-68.62897,11.86617,207.5099,2.0343,-28.16813,9.808298, 
9.8,-68.84241,11.84558,207.5652,2.021579,-28.23434,9.793149, 
9.9,-68.29629,12.26709,207.345,1.96681,-28.08975,9.858044, 
10,-68.17275,11.95756,207.0193,2.100683,-28.22517,9.841885, 
10.1,-68.45745,12.03399,207.3507,2.120682,-28.29563,9.727558, 
10.2,-68.2587,12.30147,207.1788,2.003149,-28.20155,9.82848, 
10.3,-68.39319,12.04858,207.2527,2.024309,-28.29186,9.791458, 
10.4,-68.49818,12.06835,207.0958,2.042348,-28.23177,9.826393, 
10.5,-50.75701,28.65719,172.8717,0.482167,-29.08408,8.658072, 
10.6,-31.60513,41.71816,136.1656,-1.083491,-27.99359,8.615874, 
10.7,-33.07876,22.4592,128.5737,1.177756,-27.06688,10.65778, 
10.8,-54.11116,12.85499,187.2359,3.263601,-25.36329,10.33194, 
10.9,-99.29535,3.24645,269.5024,4.58031,-24.27407,8.831798, 
11,-108.8657,9.4182,274.5446,4.19511,-26.12679,7.622371, 
11.1,-87.54907,16.352,257.0287,3.136753,-22.57572,7.718585, 
11.2,-58.77331,3.974825,213.5016,4.143272,-23.90738,10.61329, 
11.3,-50.58071,15.33166,211.2588,3.067779,-21.85898,10.59425, 
11.4,-62.80031,20.25149,201.1081,2.513055,-25.29871,8.752636, 
11.5,-63.24088,12.83295,205.7086,3.575455,-25.56469,11.46244, 
11.6,-64.3793,15.9531,198.263,2.893438,-24.31407,10.62677, 
11.7,-68.56483,18.72825,207.0648,2.417252,-25.52105,10.69316, 
11.8,-67.66551,15.23369,203.3781,2.377022,-25.57145,10.6544, 
11.9,-64.43109,17.24334,206.9336,2.026033,-24.41035,11.09584, 
12,-66.91476,14.3781,204.7569,2.349374,-24.35116,10.69297, 
12.1,-62.47626,18.14182,202.5226,2.099963,-24.4556,11.94808, 
12.2,-69.45377,21.78481,204.7958,1.597391,-25.61922,11.7641, 
12.3,-63.53186,14.48296,205.1031,2.48649,-24.28677,12.57807, 
12.4,-55.42286,-5.950637,203.2565,4.581672,-21.29967,24.05105, 
12.5,-79.102,34.1425,190.8908,-0.08522,-27.63624,11.45149, 
12.6,-71.12447,11.54751,202.9503,2.276156,-25.24043,16.28617, 
12.7,-63.66796,6.1621,212.5565,2.975959,-21.37205,17.0258, 
12.8,-52.92034,8.676112,204.6851,2.926421,-22.53509,16.89566, 
12.9,-45.63578,-63.65905,177.3784,11.24001,-24.37379,27.87208, 
13,57.97258,-312.2797,-109.8145,117.3238,-124.9782,47.25633, 
13.1,-125.3902,170.7959,409.2896,-14.56141,-2.13275,-46.64604, 
13.2,-119.5253,-209.5525,152.2269,28.38158,-59.90984,44.40874, 
13.3,-45.83932,-21.44253,167.2463,7.443446,-38.47729,30.90738, 
13.4,-54.47295,68.10069,161.949,-3.775857,-39.77566,1.20689, 
13.5,-108.9392,9.762975,173.0371,2.065652,-42.60538,11.25243, 
13.6,-166.0979,-41.56705,162.1056,6.419753,-58.24846,21.64735, 
13.7,-152.0043,-30.03975,157.7521,6.522674,-61.72815,19.06104, 
13.8,-95.89635,11.5036,196.5057,1.523538,-29.61254,9.535284, 
13.9,-36.12979,9.319162,194.3786,7.091815,-18.05102,14.27383, 
14,30.702,5.5862,172.9509,4.252948,-19.13853,11.57979, 
14.1,26.3465,49.49424,230.4001,-0.811721,-11.10803,8.707743, 
14.2,-59.32347,54.42671,240.3654,-0.872333,-19.4127,6.9246, 
14.3,-105.338,59.72935,224.8371,-1.413117,-27.1077,7.35336, 
14.4,-94.18012,-34.11578,213.5002,9.935012,-15.51595,29.20156, 
14.5,-70.37125,29.56104,188.674,2.889133,-26.90633,9.348468, 
14.6,-56.1373,38.54025,211.2828,-0.4844,-17.61223,17.12772, 
14.7,-65.83046,2.979438,211.4624,4.544205,-17.47745,19.89031, 
14.8,-65.57321,5.198338,211.7269,3.734086,-15.56051,18.93654, 
14.9,-53.55156,17.6877,208.4735,3.409023,-15.43122,16.64209, 
15,-59.33458,16.48683,202.4515,3.933561,-19.30287,16.52114, 
15.1,-73.36815,20.62807,195.1179,3.691213,-23.24563,11.85719, 
15.2,-82.97987,13.93096,193.6541,4.831561,-26.58808,13.20704, 
15.3,-53.10693,25.88677,194.1478,3.163779,-22.33482,12.00816, 
15.4,58.41352,17.58954,216.4474,8.930439,-3.925086,9.114337, 
15.5,-138.6053,28.07824,189.4647,12.85697,-59.38087,26.11536, 
15.6,-148.8763,-159.7623,256.4943,7.253144,-64.8149,95.49268, 
15.7,-107.0345,-9.58445,186.3298,5.301018,-41.59902,26.07035, 
15.8,-17.22041,72.69073,183.1513,-1.876437,-23.72568,-2.458808, 
15.9,-69.19347,33.67437,149.4382,1.668499,-49.71069,10.89424, 
16,-110.6078,-71.44386,145.8202,13.70226,-53.98669,39.1712, 
16.1,-120.2523,-64.96445,175.7413,14.07273,-46.65525,29.49797, 
16.2,-139.1286,-65.83036,149.1652,14.48164,-55.57903,26.25273, 
16.3,-123.4336,-62.34291,172.3313,15.95706,-55.48314,26.01535, 
16.4,15.26169,-33.75186,280.8565,7.784754,-5.511689,10.78026, 
16.5,-49.36546,-14.17013,311.6026,4.783906,-14.35799,11.78945, 
16.6,-35.51435,-5.20805,289.4126,3.612205,-13.51145,8.055604, 
16.7,-62.04785,15.47676,252.8848,0.592048,-22.24057,8.657016, 
16.8,-80.74911,22.52901,245.5702,0.923929,-22.60644,8.434702, 
16.9,-99.94786,27.49481,244.8832,0.989909,-27.4174,7.026338, 
17,-116.9,66.10565,201.7111,-2.768113,-31.71684,5.051822, 
17.1,-84.18864,79.15874,215.0946,-3.807517,-27.28707,4.682095, 
17.2,42.01965,44.57447,307.3174,0.684436,-7.751315,6.65585, 
17.3,-52.14716,11.89958,313.3536,6.958984,-16.64058,9.446188, 
17.4,-111.258,9.961225,284.7568,6.382533,-21.52966,10.6271, 
17.5,-231.3811,19.36834,247.8887,6.737826,-38.40408,10.33706, 
17.6,-140.488,17.67027,265.8135,7.661153,-24.53656,13.67824, 
17.7,-126.6701,16.6436,282.0062,7.902782,-24.70735,11.45624, 
17.8,-252.0016,13.61168,236.2262,5.975595,-40.6455,11.34774, 
17.9,-158.3048,2.527762,283.2742,4.67378,-30.69744,9.052208, 
18,-109.3371,8.523937,292.0043,3.911406,-27.94389,6.351533, 
18.1,-43.1941,27.74661,263.5962,1.186535,-29.72927,4.450755, 
18.2,-96.35809,24.92344,262.4911,0.535122,-32.71012,6.350071, 
18.3,-87.20673,19.81683,276.809,1.008654,-22.18207,7.363948, 
18.4,-34.15841,-1.251812,299.8435,3.152643,-8.595966,10.6144, 
18.5,-50.56244,11.46027,234.9502,1.639168,-19.24319,11.60388, 
18.6,-62.58413,18.77095,209.1351,0.841464,-27.39687,8.481549, 
18.7,-70.83263,11.29655,206.9086,2.346335,-29.37277,9.457382, 
18.8,-69.52567,14.26822,207.4945,1.517606,-28.1311,9.904704, 
18.9,-68.45128,12.98728,208.0896,2.028454,-28.1119,9.93072, 
19,-68.41093,13.48389,206.375,1.87594,-28.61295,9.714366, 
19.1,-67.05173,13.70249,206.2429,1.984486,-28.1879,9.513693, 
19.2,-66.83529,14.13644,206.8593,1.688077,-28.17446,9.755825, 
19.3,-63.68459,16.43119,199.5867,1.60907,-28.36788,9.6527, 
19.4,-32.17174,36.65199,160.0804,-0.60348,-26.59796,9.022846, 
19.5,-21.18915,34.66335,144.236,-0.273452,-24.94373,10.16656, 
19.6,-17.93016,18.1639,155.0329,2.091514,-24.06465,9.022329, 
19.7,-75.30473,11.16728,229.483,3.19694,-26.40557,10.64543, 
19.8,-113.7518,13.06748,258.1388,3.77853,-27.95871,8.011668, 
19.9,-112.6604,6.488275,260.8337,4.37025,-25.37323,10.03758, 
20,-60.00746,10.38926,239.0218,3.476129,-20.83794,10.63734, 
20.1,-44.74969,22.56426,201.97,2.326471,-22.72482,9.509935, 
20.2,-57.10044,16.41621,199.2808,3.13158,-25.59217,11.51142, 
20.3,-66.81644,13.49516,205.5484,3.695126,-25.60438,10.52366, 
20.4,-68.35278,21.02121,204.9242,2.624137,-25.0233,10.62892, 
20.5,-64.10456,11.52696,203.5348,3.348328,-24.73823,10.82821, 
20.6,-62.27344,22.99797,202.8611,1.842357,-25.24136,11.10868, 
20.7,-66.76467,15.36133,199.1866,2.371711,-25.63887,10.73255, 
20.8,-68.14334,16.10051,198.1125,2.764727,-27.20304,14.76753, 
20.9,-66.48961,23.99389,204.0958,1.624538,-23.99208,11.05283, 
21,-63.70616,20.54703,198.8664,2.183644,-25.35174,11.99858, 
21.1,-65.08135,22.00724,201.9448,2.303103,-23.94103,11.88347, 
21.2,-54.49524,15.98941,197.5585,2.89118,-25.1794,13.23083, 
21.3,-57.85121,27.43646,192.4607,0.765726,-25.2516,10.71093, 
21.4,-66.49491,32.70687,189.1402,0.347075,-25.84443,10.54118, 
21.5,-64.06242,31.63811,192.4766,0.232681,-26.73975,11.86134, 
21.6,-42.2042,35.07972,199.0317,0.326802,-22.2168,10.55271, 
21.7,-24.01113,10.48751,249.9034,2.498435,-16.48322,11.22614, 
21.8,-272.9066,8.511825,167.4451,101.3359,-51.34224,31.67217, 
21.9,-92.81505,-101.818,345.4452,72.53398,13.95519,19.43222, 
22,-223.7218,-30.95181,163.7889,15.00493,-22.31996,58.62786, 
22.1,-55.514,134.7607,190.411,-9.775985,-29.93513,-16.20879, 
22.2,-77.51379,31.46435,185.2874,1.491201,-38.33518,10.28726, 
22.3,-90.13975,-24.73206,184.2721,7.787654,-37.232,23.24934, 
22.4,-142.1182,-11.37607,162.1451,5.164705,-54.07202,17.47126, 
22.5,-125.0987,1.429225,194.5592,4.394892,-47.22793,13.33062, 
22.6,-140.6259,6.001675,201.7536,6.102256,-48.85661,12.19818, 
22.7,702.767,109.3129,-200.4726,11.67992,-38.99987,6.101037, 
22.8,3.536513,16.09959,167.9593,-0.067468,-15.82823,9.329544, 
22.9,36.8955,20.61239,215.1904,1.845079,-10.47319,11.35405, 
23,-6.40215,40.04266,239.4733,0.525268,-13.79437,10.25173, 
23.1,-88.58398,61.60469,224.1555,-2.168066,-26.9225,6.822973, 
23.2,-122.3766,26.24011,194.5375,1.321235,-31.82573,9.757311, 
23.3,-84.71337,18.78634,199.3049,1.418165,-26.66112,12.50883, 
23.4,-37.35349,17.76883,212.3089,1.517408,-21.21241,10.7371, 
23.5,-70.8313,21.40206,195.3288,1.525127,-27.79936,11.68269, 
23.6,-69.82478,20.83886,202.3269,2.393746,-24.58133,12.15096, 
23.7,-69.02557,17.66646,204.9808,2.270692,-23.49057,12.46087, 
23.8,-65.66847,14.83806,201.9449,3.298561,-23.78633,12.50472, 
23.9,-64.08046,29.25345,196.2619,2.17184,-23.10661,12.886, 
24,-89.26713,18.4234,190.7217,3.539046,-27.54501,13.85168, 
24.1,-57.81409,26.40991,203.9124,2.336561,-24.20464,12.39068, 
24.2,209.617,-41.83866,56.05022,6.706275,-23.93481,9.067177, 
24.3,-106.5669,12.44226,232.7166,-0.144972,-12.45474,28.89583, 
24.4,2.276975,-248.4971,247.6922,50.73503,-52.11943,99.87349, 
24.5,-86.7279,111.5122,103.3959,-6.88769,-62.86292,-11.06516, 
24.6,-24.97775,105.4035,212.4539,-7.207363,-21.96302,0.200235, 
24.7,-74.8469,-22.79385,173.7893,5.68395,-39.0474,21.60654, 
24.8,-86.00278,-33.60136,181.5871,8.244026,-39.6229,29.43722, 
24.9,-118.7952,-21.35931,170.0624,8.237125,-47.39694,18.98383, 
25,-137.0894,-34.48529,151.3133,10.14804,-55.63731,21.95727, 
25.1,-119.034,-23.98554,201.9324,9.419877,-42.95899,12.68302, 
25.2,-120.2869,70.78144,345.2527,-1.693753,32.06748,24.5393, 
25.3,-80.94169,-8.014425,235.6435,3.294039,-27.94687,15.5784, 
25.4,-35.52589,-7.763837,293.3422,4.754838,-14.49173,13.18863, 
25.5,-60.29248,1.868837,252.374,3.214648,-21.51131,11.78749, 
25.6,-91.89625,19.70313,239.2627,1.681896,-23.80437,10.31305, 
25.7,-106.1225,30.25896,243.6533,1.120717,-26.8959,6.706587, 
25.8,-112.4854,67.00127,222.2741,-2.739676,-30.77022,3.884881, 
25.9,-80.68956,83.16158,227.0806,-4.829625,-24.13138,4.197983, 
26,41.22448,45.34575,310.3158,0.185694,-7.351351,6.515352, 
26.1,-54.58045,9.936612,312.7954,7.097452,-15.95452,9.805565, 
26.2,-115.8377,10.72274,283.3803,6.791893,-20.91108,10.59143, 
