,Fx,Fy,Fz,Tx,Ty,Tz
223.9,1,1,1,1,1,1
224,1,1,1,1,1,1
224.1,1,1,1,1,1,1
224.2,1,1,1,1,1,1
224.3,1,1,1,1,1,1
224.4,1,1,1,1,1,1
224.5,1,1,1,1,1,1
224.6,1,1,1,1,1,1
224.7,1,1,1,1,1,1
224.8,1,1,1,1,1,1
224.9,1,1,1,1,1,1
225,1,1,1,1,1,1
225.1,1,1,1,1,1,1
225.2,1,1,1,1,1,1
225.3,1,1,1,1,1,1
225.4,1,1,1,1,1,1
225.5,1,1,1,1,1,1
225.6,1,1,1,1,1,1
225.7,1,1,1,1,1,1
225.8,1,1,1,1,1,1
225.9,1,1,1,1,1,1
226,1,1,1,1,1,1
226.1,1,1,1,1,1,1
226.2,1,1,1,1,1,1
226.3,1,1,1,1,1,1
226.4,1,1,1,1,1,1
226.5,1,1,1,1,1,1
226.6,1,1,1,1,1,1
226.7,1,1,1,1,1,1
226.8,1,1,1,1,1,1
226.9,1,1,1,1,1,1
227,1,1,1,1,1,1
227.1,1,1,1,1,1,1
227.2,1,1,1,1,1,1
227.3,1,1,1,1,1,1
227.4,1,1,1,1,1,1
227.5,1,1,1,1,1,1
227.6,1,1,1,1,1,1
227.7,1,1,1,1,1,1
227.8,1,1,1,1,1,1
227.9,1,1,1,1,1,1
228,1,1,1,1,1,1
228.1,1,1,1,1,1,1
228.2,1,1,1,1,1,1
228.3,1,1,1,1,1,1
228.4,1,1,1,1,1,1
228.5,1,1,1,1,1,1
228.6,1,1,1,1,1,1
228.7,1,1,1,1,1,1
228.8,1,1,1,1,1,1
228.9,1,1,1,1,1,1
229,1,1,1,1,1,1
229.1,1,1,1,1,1,1
229.2,1,1,1,1,1,1
229.3,1,1,1,1,1,1
229.4,1,1,1,1,1,1
229.5,1,1,1,1,1,1
229.6,1,1,1,1,1,1
229.7,1,1,1,1,1,1
229.8,1,1,1,1,1,1
229.9,1,1,1,1,1,1
230,1,1,1,1,1,1
230.1,1,1,1,1,1,1
230.2,1,1,1,1,1,1
230.3,1,1,1,1,1,1
230.4,1,1,1,1,1,1
230.5,1,1,1,1,1,1
230.6,1,1,1,1,1,1
230.7,1,1,1,1,1,1
230.8,1,1,1,1,1,1
230.9,1,1,1,1,1,1
231,1,1,1,1,1,1
231.1,1,1,1,1,1,1
231.2,1,1,1,1,1,1
231.3,1,1,1,1,1,1
231.4,1,1,1,1,1,1
231.5,1,1,1,1,1,1
231.6,1,1,1,1,1,1
231.7,1,1,1,1,1,1
231.8,1,1,1,1,1,1
231.9,1,1,1,1,1,1
232,1,1,1,1,1,1
232.1,1,1,1,1,1,1
232.2,1,1,1,1,1,1
232.3,1,1,1,1,1,1
232.4,1,1,1,1,1,1
232.5,1,1,1,1,1,1
232.6,1,1,1,1,1,1
232.7,1,1,1,1,1,1
232.8,1,1,1,1,1,1
232.9,1,1,1,1,1,1
233,1,1,1,1,1,1
233.1,1,1,1,1,1,1
233.2,1,1,1,1,1,1
233.3,1,1,1,1,1,1
233.4,1,1,1,1,1,1
233.5,1,1,1,1,1,1
233.6,1,1,1,1,1,1
233.7,1,1,1,1,1,1
233.8,1,1,1,1,1,1
233.9,1,1,1,1,1,1
234,1,1,1,1,1,1
234.1,1,1,1,1,1,1
234.2,1,1,1,1,1,1
234.3,1,1,1,1,1,1
234.4,1,1,1,1,1,1
234.5,1,1,1,1,1,1
234.6,1,1,1,1,1,1
234.7,1,1,1,1,1,1
234.8,1,1,1,1,1,1
234.9,1,1,1,1,1,1
235,1,1,1,1,1,1
235.1,1,1,1,1,1,1
235.2,1,1,1,1,1,1
235.3,1,1,1,1,1,1
235.4,1,1,1,1,1,1
235.5,1,1,1,1,1,1
235.6,1,1,1,1,1,1
235.7,1,1,1,1,1,1
235.8,1,1,1,1,1,1
235.9,1,1,1,1,1,1
236,1,1,1,1,1,1
236.1,1,1,1,1,1,1
236.2,1,1,1,1,1,1
236.3,1,1,1,1,1,1
236.4,1,1,1,1,1,1
236.5,1,1,1,1,1,1
236.6,1,1,1,1,1,1
236.7,1,1,1,1,1,1
236.8,1,1,1,1,1,1
236.9,1,1,1,1,1,1
237,1,1,1,1,1,1
237.1,1,1,1,1,1,1
237.2,1,1,1,1,1,1
237.3,1,1,1,1,1,1
237.4,1,1,1,1,1,1
237.5,1,1,1,1,1,1
237.6,1,1,1,1,1,1
237.7,1,1,1,1,1,1
237.8,1,1,1,1,1,1
237.9,1,1,1,1,1,1
238,1,1,1,1,1,1
238.1,1,1,1,1,1,1
238.2,1,1,1,1,1,1
238.3,1,1,1,1,1,1
238.4,1,1,1,1,1,1
238.5,1,1,1,1,1,1
238.6,1,1,1,1,1,1
238.7,1,1,1,1,1,1
238.8,1,1,1,1,1,1
238.9,1,1,1,1,1,1
239,1,1,1,1,1,1
239.1,1,1,1,1,1,1
239.2,1,1,1,1,1,1
239.3,1,1,1,1,1,1
239.4,1,1,1,1,1,1
239.5,1,1,1,1,1,1
239.6,1,1,1,1,1,1
239.7,1,1,1,1,1,1
239.8,1,1,1,1,1,1
239.9,1,1,1,1,1,1
240,1,1,1,1,1,1
240.1,1,1,1,1,1,1
240.2,1,1,1,1,1,1
240.3,1,1,1,1,1,1
240.4,1,1,1,1,1,1
240.5,1,1,1,1,1,1
240.6,1,1,1,1,1,1
240.7,1,1,1,1,1,1
240.8,1,1,1,1,1,1
240.9,1,1,1,1,1,1
241,1,1,1,1,1,1
241.1,1,1,1,1,1,1
241.2,1,1,1,1,1,1
241.3,1,1,1,1,1,1
241.4,1,1,1,1,1,1
241.5,1,1,1,1,1,1
241.6,1,1,1,1,1,1
241.7,1,1,1,1,1,1
241.8,1,1,1,1,1,1
241.9,1,1,1,1,1,1
242,1,1,1,1,1,1
242.1,1,1,1,1,1,1
242.2,1,1,1,1,1,1
242.3,1,1,1,1,1,1
242.4,1,1,1,1,1,1
242.5,1,1,1,1,1,1
242.6,1,1,1,1,1,1
242.7,1,1,1,1,1,1
242.8,1,1,1,1,1,1
242.9,1,1,1,1,1,1
243,1,1,1,1,1,1
243.1,1,1,1,1,1,1
243.2,1,1,1,1,1,1
243.3,1,1,1,1,1,1
243.4,1,1,1,1,1,1
243.5,1,1,1,1,1,1
243.6,1,1,1,1,1,1
243.7,1,1,1,1,1,1
243.8,1,1,1,1,1,1
243.9,1,1,1,1,1,1
244,1,1,1,1,1,1
244.1,1,1,1,1,1,1
244.2,1,1,1,1,1,1
244.3,1,1,1,1,1,1
244.4,1,1,1,1,1,1
244.5,1,1,1,1,1,1
244.6,1,1,1,1,1,1
244.7,1,1,1,1,1,1
244.8,1,1,1,1,1,1
244.9,1,1,1,1,1,1
245,1,1,1,1,1,1
245.1,1,1,1,1,1,1
245.2,1,1,1,1,1,1
245.3,1,1,1,1,1,1
245.4,1,1,1,1,1,1
245.5,1,1,1,1,1,1
245.6,1,1,1,1,1,1
245.7,1,1,1,1,1,1
245.8,1,1,1,1,1,1
245.9,1,1,1,1,1,1
246,1,1,1,1,1,1
246.1,1,1,1,1,1,1
246.2,1,1,1,1,1,1
246.3,1,1,1,1,1,1
246.4,1,1,1,1,1,1
246.5,1,1,1,1,1,1
246.6,1,1,1,1,1,1
246.7,1,1,1,1,1,1
246.8,1,1,1,1,1,1
246.9,1,1,1,1,1,1
247,1,1,1,1,1,1
247.1,1,1,1,1,1,1
247.2,1,1,1,1,1,1
247.3,1,1,1,1,1,1
247.4,1,1,1,1,1,1
247.5,1,1,1,1,1,1
247.6,1,1,1,1,1,1
247.7,1,1,1,1,1,1
247.8,1,1,1,1,1,1
247.9,1,1,1,1,1,1
248,1,1,1,1,1,1
248.1,1,1,1,1,1,1
248.2,1,1,1,1,1,1
248.3,1,1,1,1,1,1
248.4,1,1,1,1,1,1
248.5,1,1,1,1,1,1
248.6,1,1,1,1,1,1
248.7,1,1,1,1,1,1
248.8,1,1,1,1,1,1
248.9,1,1,1,1,1,1
249,1,1,1,1,1,1
249.1,1,1,1,1,1,1
249.2,1,1,1,1,1,1
249.3,1,1,1,1,1,1
249.4,1,1,1,1,1,1
249.5,1,1,1,1,1,1
249.6,1,1,1,1,1,1
249.7,1,1,1,1,1,1
249.8,1,1,1,1,1,1
249.9,1,1,1,1,1,1
250,1,1,1,1,1,1
250.1,1,1,1,1,1,1
250.2,1,1,1,1,1,1
250.3,1,1,1,1,1,1
250.4,1,1,1,1,1,1
250.5,1,1,1,1,1,1
250.6,1,1,1,1,1,1
250.7,1,1,1,1,1,1
250.8,1,1,1,1,1,1
250.9,1,1,1,1,1,1
251,1,1,1,1,1,1
251.1,1,1,1,1,1,1
251.2,1,1,1,1,1,1
251.3,1,1,1,1,1,1
251.4,1,1,1,1,1,1
251.5,1,1,1,1,1,1
251.6,1,1,1,1,1,1
251.7,1,1,1,1,1,1
251.8,1,1,1,1,1,1
251.9,1,1,1,1,1,1
252,1,1,1,1,1,1
252.1,1,1,1,1,1,1
252.2,1,1,1,1,1,1
252.3,1,1,1,1,1,1
252.4,1,1,1,1,1,1
252.5,1,1,1,1,1,1
252.6,1,1,1,1,1,1
252.7,1,1,1,1,1,1
252.8,1,1,1,1,1,1
252.9,1,1,1,1,1,1
253,1,1,1,1,1,1
253.1,1,1,1,1,1,1
253.2,1,1,1,1,1,1
253.3,1,1,1,1,1,1
253.4,1,1,1,1,1,1
253.5,1,1,1,1,1,1
253.6,1,1,1,1,1,1
253.7,1,1,1,1,1,1
253.8,1,1,1,1,1,1
253.9,1,1,1,1,1,1
254,1,1,1,1,1,1
254.1,1,1,1,1,1,1
254.2,1,1,1,1,1,1
254.3,1,1,1,1,1,1
254.4,1,1,1,1,1,1
254.5,1,1,1,1,1,1
254.6,1,1,1,1,1,1
254.7,1,1,1,1,1,1
254.8,1,1,1,1,1,1
254.9,1,1,1,1,1,1
255,1,1,1,1,1,1
255.1,1,1,1,1,1,1
255.2,1,1,1,1,1,1
255.3,1,1,1,1,1,1
255.4,1,1,1,1,1,1
255.5,1,1,1,1,1,1
255.6,1,1,1,1,1,1
255.7,1,1,1,1,1,1
255.8,1,1,1,1,1,1
255.9,1,1,1,1,1,1
256,1,1,1,1,1,1
256.1,1,1,1,1,1,1
256.2,1,1,1,1,1,1
256.3,1,1,1,1,1,1
256.4,1,1,1,1,1,1
256.5,1,1,1,1,1,1
256.6,1,1,1,1,1,1
256.7,1,1,1,1,1,1
256.8,1,1,1,1,1,1
256.9,1,1,1,1,1,1
257,1,1,1,1,1,1
257.1,1,1,1,1,1,1
257.2,1,1,1,1,1,1
257.3,1,1,1,1,1,1
257.4,1,1,1,1,1,1
257.5,1,1,1,1,1,1
257.6,1,1,1,1,1,1
257.7,1,1,1,1,1,1
257.8,1,1,1,1,1,1
257.9,1,1,1,1,1,1
258,1,1,1,1,1,1
258.1,1,1,1,1,1,1
258.2,1,1,1,1,1,1
258.3,1,1,1,1,1,1
258.4,1,1,1,1,1,1
258.5,1,1,1,1,1,1
258.6,1,1,1,1,1,1
258.7,1,1,1,1,1,1
258.8,1,1,1,1,1,1
258.9,1,1,1,1,1,1
259,1,1,1,1,1,1
259.1,1,1,1,1,1,1
259.2,1,1,1,1,1,1
259.3,1,1,1,1,1,1
259.4,1,1,1,1,1,1
259.5,1,1,1,1,1,1
259.6,1,1,1,1,1,1
259.7,1,1,1,1,1,1
259.8,1,1,1,1,1,1
259.9,1,1,1,1,1,1
260,1,1,1,1,1,1
260.1,1,1,1,1,1,1
260.2,1,1,1,1,1,1
260.3,1,1,1,1,1,1
260.4,1,1,1,1,1,1
260.5,1,1,1,1,1,1
260.6,1,1,1,1,1,1
260.7,1,1,1,1,1,1
260.8,1,1,1,1,1,1
260.9,1,1,1,1,1,1
261,1,1,1,1,1,1
261.1,1,1,1,1,1,1
261.2,1,1,1,1,1,1
261.3,1,1,1,1,1,1
261.4,1,1,1,1,1,1
261.5,1,1,1,1,1,1
261.6,1,1,1,1,1,1
261.7,1,1,1,1,1,1
261.8,1,1,1,1,1,1
261.9,1,1,1,1,1,1
262,1,1,1,1,1,1
262.1,1,1,1,1,1,1
262.2,1,1,1,1,1,1
262.3,1,1,1,1,1,1
262.4,1,1,1,1,1,1
262.5,1,1,1,1,1,1
262.6,1,1,1,1,1,1
262.7,1,1,1,1,1,1
262.8,1,1,1,1,1,1
262.9,1,1,1,1,1,1
263,1,1,1,1,1,1
263.1,1,1,1,1,1,1
263.2,1,1,1,1,1,1
263.3,1,1,1,1,1,1
263.4,1,1,1,1,1,1
263.5,1,1,1,1,1,1
263.6,1,1,1,1,1,1
263.7,1,1,1,1,1,1
263.8,1,1,1,1,1,1
263.9,1,1,1,1,1,1
264,1,1,1,1,1,1
264.1,1,1,1,1,1,1
264.2,1,1,1,1,1,1
264.3,1,1,1,1,1,1
264.4,1,1,1,1,1,1
264.5,1,1,1,1,1,1
264.6,1,1,1,1,1,1
264.7,1,1,1,1,1,1
264.8,1,1,1,1,1,1
264.9,1,1,1,1,1,1
265,1,1,1,1,1,1
265.1,1,1,1,1,1,1
265.2,1,1,1,1,1,1
265.3,1,1,1,1,1,1
265.4,1,1,1,1,1,1
265.5,1,1,1,1,1,1
265.6,1,1,1,1,1,1
265.7,1,1,1,1,1,1
265.8,1,1,1,1,1,1
265.9,1,1,1,1,1,1
266,1,1,1,1,1,1
266.1,1,1,1,1,1,1
266.2,1,1,1,1,1,1
266.3,1,1,1,1,1,1
266.4,1,1,1,1,1,1
266.5,1,1,1,1,1,1
266.6,1,1,1,1,1,1
266.7,1,1,1,1,1,1
266.8,1,1,1,1,1,1
266.9,1,1,1,1,1,1
267,1,1,1,1,1,1
267.1,1,1,1,1,1,1
267.2,1,1,1,1,1,1
267.3,1,1,1,1,1,1
267.4,1,1,1,1,1,1
267.5,1,1,1,1,1,1
267.6,1,1,1,1,1,1
267.7,1,1,1,1,1,1
267.8,1,1,1,1,1,1
267.9,1,1,1,1,1,1
268,1,1,1,1,1,1
268.1,1,1,1,1,1,1
268.2,1,1,1,1,1,1
268.3,1,1,1,1,1,1
268.4,1,1,1,1,1,1
268.5,1,1,1,1,1,1
268.6,1,1,1,1,1,1
268.7,1,1,1,1,1,1
268.8,1,1,1,1,1,1
268.9,1,1,1,1,1,1
269,1,1,1,1,1,1
269.1,1,1,1,1,1,1
269.2,1,1,1,1,1,1
269.3,1,1,1,1,1,1
269.4,1,1,1,1,1,1
269.5,1,1,1,1,1,1
269.6,1,1,1,1,1,1
269.7,1,1,1,1,1,1
269.8,1,1,1,1,1,1
269.9,1,1,1,1,1,1
270,1,1,1,1,1,1
270.1,1,1,1,1,1,1
270.2,1,1,1,1,1,1
270.3,1,1,1,1,1,1
270.4,1,1,1,1,1,1
270.5,1,1,1,1,1,1
270.6,1,1,1,1,1,1
270.7,1,1,1,1,1,1
270.8,1,1,1,1,1,1
270.9,1,1,1,1,1,1
271,1,1,1,1,1,1
271.1,1,1,1,1,1,1
271.2,1,1,1,1,1,1
271.3,1,1,1,1,1,1
271.4,1,1,1,1,1,1
271.5,1,1,1,1,1,1
271.6,1,1,1,1,1,1
271.7,1,1,1,1,1,1
271.8,1,1,1,1,1,1
271.9,1,1,1,1,1,1
272,1,1,1,1,1,1
272.1,1,1,1,1,1,1
272.2,1,1,1,1,1,1
272.3,1,1,1,1,1,1
272.4,1,1,1,1,1,1
272.5,1,1,1,1,1,1
272.6,1,1,1,1,1,1
272.7,1,1,1,1,1,1
272.8,1,1,1,1,1,1
272.9,1,1,1,1,1,1
273,1,1,1,1,1,1
273.1,1,1,1,1,1,1
273.2,1,1,1,1,1,1
273.3,1,1,1,1,1,1
273.4,1,1,1,1,1,1
273.5,1,1,1,1,1,1
273.6,1,1,1,1,1,1
273.7,1,1,1,1,1,1
273.8,1,1,1,1,1,1
273.9,1,1,1,1,1,1
274,1,1,1,1,1,1
274.1,1,1,1,1,1,1
274.2,1,1,1,1,1,1
274.3,1,1,1,1,1,1
274.4,1,1,1,1,1,1
274.5,1,1,1,1,1,1
274.6,1,1,1,1,1,1
274.7,1,1,1,1,1,1
274.8,1,1,1,1,1,1
274.9,1,1,1,1,1,1
275,1,1,1,1,1,1
275.1,1,1,1,1,1,1
275.2,1,1,1,1,1,1
275.3,1,1,1,1,1,1
275.4,1,1,1,1,1,1
275.5,1,1,1,1,1,1
275.6,1,1,1,1,1,1
275.7,1,1,1,1,1,1
275.8,1,1,1,1,1,1
275.9,1,1,1,1,1,1
276,1,1,1,1,1,1
276.1,1,1,1,1,1,1
276.2,1,1,1,1,1,1
276.3,1,1,1,1,1,1
276.4,1,1,1,1,1,1
276.5,1,1,1,1,1,1
276.6,1,1,1,1,1,1
276.7,1,1,1,1,1,1
276.8,1,1,1,1,1,1
276.9,1,1,1,1,1,1
277,1,1,1,1,1,1
277.1,1,1,1,1,1,1
277.2,1,1,1,1,1,1
277.3,1,1,1,1,1,1
277.4,1,1,1,1,1,1
277.5,1,1,1,1,1,1
277.6,1,1,1,1,1,1
277.7,1,1,1,1,1,1
277.8,1,1,1,1,1,1
277.9,1,1,1,1,1,1
278,1,1,1,1,1,1
278.1,1,1,1,1,1,1
278.2,1,1,1,1,1,1
278.3,1,1,1,1,1,1
278.4,1,1,1,1,1,1
278.5,1,1,1,1,1,1
278.6,1,1,1,1,1,1
278.7,1,1,1,1,1,1
278.8,1,1,1,1,1,1
278.9,1,1,1,1,1,1
279,1,1,1,1,1,1
279.1,1,1,1,1,1,1
279.2,1,1,1,1,1,1
279.3,1,1,1,1,1,1
279.4,1,1,1,1,1,1
279.5,1,1,1,1,1,1
279.6,1,1,1,1,1,1
279.7,1,1,1,1,1,1
279.8,1,1,1,1,1,1
279.9,1,1,1,1,1,1
280,1,1,1,1,1,1
280.1,1,1,1,1,1,1
280.2,1,1,1,1,1,1
280.3,1,1,1,1,1,1
280.4,1,1,1,1,1,1
280.5,1,1,1,1,1,1
280.6,1,1,1,1,1,1
280.7,1,1,1,1,1,1
280.8,1,1,1,1,1,1
280.9,1,1,1,1,1,1
281,1,1,1,1,1,1
281.1,1,1,1,1,1,1
281.2,1,1,1,1,1,1
281.3,1,1,1,1,1,1
281.4,1,1,1,1,1,1
281.5,1,1,1,1,1,1
281.6,1,1,1,1,1,1
281.7,1,1,1,1,1,1
281.8,1,1,1,1,1,1
281.9,1,1,1,1,1,1
282,1,1,1,1,1,1
282.1,1,1,1,1,1,1
282.2,1,1,1,1,1,1
282.3,1,1,1,1,1,1
282.4,1,1,1,1,1,1
282.5,1,1,1,1,1,1
282.6,1,1,1,1,1,1
282.7,1,1,1,1,1,1
282.8,1,1,1,1,1,1
282.9,1,1,1,1,1,1
283,1,1,1,1,1,1
283.1,1,1,1,1,1,1
283.2,1,1,1,1,1,1
283.3,1,1,1,1,1,1
283.4,1,1,1,1,1,1
283.5,1,1,1,1,1,1
283.6,1,1,1,1,1,1
283.7,1,1,1,1,1,1
283.8,1,1,1,1,1,1
283.9,1,1,1,1,1,1
284,1,1,1,1,1,1
284.1,1,1,1,1,1,1
284.2,1,1,1,1,1,1
284.3,1,1,1,1,1,1
284.4,1,1,1,1,1,1
284.5,1,1,1,1,1,1
284.6,1,1,1,1,1,1
284.7,1,1,1,1,1,1
284.8,1,1,1,1,1,1
284.9,1,1,1,1,1,1
285,1,1,1,1,1,1
285.1,1,1,1,1,1,1
285.2,1,1,1,1,1,1
285.3,1,1,1,1,1,1
285.4,1,1,1,1,1,1
285.5,1,1,1,1,1,1
285.6,1,1,1,1,1,1
285.7,1,1,1,1,1,1
285.8,1,1,1,1,1,1
285.9,1,1,1,1,1,1
286,1,1,1,1,1,1
286.1,1,1,1,1,1,1
286.2,1,1,1,1,1,1
286.3,1,1,1,1,1,1
286.4,1,1,1,1,1,1
286.5,1,1,1,1,1,1
286.6,1,1,1,1,1,1
286.7,1,1,1,1,1,1
286.8,1,1,1,1,1,1
286.9,1,1,1,1,1,1
287,1,1,1,1,1,1
287.1,1,1,1,1,1,1
287.2,1,1,1,1,1,1
287.3,1,1,1,1,1,1
287.4,1,1,1,1,1,1
287.5,1,1,1,1,1,1
287.6,1,1,1,1,1,1
287.7,1,1,1,1,1,1
287.8,1,1,1,1,1,1
287.9,1,1,1,1,1,1
288,1,1,1,1,1,1
288.1,1,1,1,1,1,1
288.2,1,1,1,1,1,1
288.3,1,1,1,1,1,1
288.4,1,1,1,1,1,1
288.5,1,1,1,1,1,1
288.6,1,1,1,1,1,1
288.7,1,1,1,1,1,1
288.8,1,1,1,1,1,1
288.9,1,1,1,1,1,1
289,1,1,1,1,1,1
289.1,1,1,1,1,1,1
289.2,1,1,1,1,1,1
289.3,1,1,1,1,1,1
289.4,1,1,1,1,1,1
289.5,1,1,1,1,1,1
289.6,1,1,1,1,1,1
289.7,1,1,1,1,1,1
289.8,1,1,1,1,1,1
289.9,1,1,1,1,1,1
290,1,1,1,1,1,1
290.1,1,1,1,1,1,1
290.2,1,1,1,1,1,1
290.3,1,1,1,1,1,1
290.4,1,1,1,1,1,1
290.5,1,1,1,1,1,1
290.6,1,1,1,1,1,1
290.7,1,1,1,1,1,1
290.8,1,1,1,1,1,1
290.9,1,1,1,1,1,1
291,1,1,1,1,1,1
291.1,1,1,1,1,1,1
291.2,1,1,1,1,1,1
291.3,1,1,1,1,1,1
291.4,1,1,1,1,1,1
291.5,1,1,1,1,1,1
291.6,1,1,1,1,1,1
291.7,1,1,1,1,1,1
291.8,1,1,1,1,1,1
291.9,1,1,1,1,1,1
292,1,1,1,1,1,1
292.1,1,1,1,1,1,1
292.2,1,1,1,1,1,1
292.3,1,1,1,1,1,1
292.4,1,1,1,1,1,1
292.5,1,1,1,1,1,1
292.6,1,1,1,1,1,1
292.7,1,1,1,1,1,1
292.8,1,1,1,1,1,1
292.9,1,1,1,1,1,1
293,1,1,1,1,1,1
293.1,1,1,1,1,1,1
293.2,1,1,1,1,1,1
293.3,1,1,1,1,1,1
293.4,1,1,1,1,1,1
293.5,1,1,1,1,1,1
293.6,1,1,1,1,1,1
293.7,1,1,1,1,1,1
293.8,1,1,1,1,1,1
293.9,1,1,1,1,1,1
294,1,1,1,1,1,1
294.1,1,1,1,1,1,1
294.2,1,1,1,1,1,1
294.3,1,1,1,1,1,1
294.4,1,1,1,1,1,1
294.5,1,1,1,1,1,1
294.6,1,1,1,1,1,1
294.7,1,1,1,1,1,1
294.8,1,1,1,1,1,1
294.9,1,1,1,1,1,1
295,1,1,1,1,1,1
295.1,1,1,1,1,1,1
295.2,1,1,1,1,1,1
295.3,1,1,1,1,1,1
295.4,1,1,1,1,1,1
295.5,1,1,1,1,1,1
295.6,1,1,1,1,1,1
295.7,1,1,1,1,1,1
295.8,1,1,1,1,1,1
295.9,1,1,1,1,1,1
296,1,1,1,1,1,1
296.1,1,1,1,1,1,1
296.2,1,1,1,1,1,1
296.3,1,1,1,1,1,1
296.4,1,1,1,1,1,1
296.5,1,1,1,1,1,1
296.6,1,1,1,1,1,1
296.7,1,1,1,1,1,1
296.8,1,1,1,1,1,1
296.9,1,1,1,1,1,1
297,1,1,1,1,1,1
297.1,1,1,1,1,1,1
297.2,1,1,1,1,1,1
297.3,1,1,1,1,1,1
297.4,1,1,1,1,1,1
297.5,1,1,1,1,1,1
297.6,1,1,1,1,1,1
297.7,1,1,1,1,1,1
297.8,1,1,1,1,1,1
297.9,1,1,1,1,1,1
298,1,1,1,1,1,1
298.1,1,1,1,1,1,1
298.2,1,1,1,1,1,1
298.3,1,1,1,1,1,1
298.4,1,1,1,1,1,1
298.5,1,1,1,1,1,1
298.6,1,1,1,1,1,1
298.7,1,1,1,1,1,1
298.8,1,1,1,1,1,1
298.9,1,1,1,1,1,1
299,1,1,1,1,1,1
299.1,1,1,1,1,1,1
299.2,1,1,1,1,1,1
299.3,1,1,1,1,1,1
299.4,1,1,1,1,1,1
299.5,1,1,1,1,1,1
299.6,1,1,1,1,1,1
299.7,1,1,1,1,1,1
299.8,1,1,1,1,1,1
299.9,1,1,1,1,1,1
300,1,1,1,1,1,1
300.1,1,1,1,1,1,1
300.2,1,1,1,1,1,1
300.3,1,1,1,1,1,1
300.4,1,1,1,1,1,1
300.5,1,1,1,1,1,1
300.6,1,1,1,1,1,1
300.7,1,1,1,1,1,1
300.8,1,1,1,1,1,1
300.9,1,1,1,1,1,1
301,1,1,1,1,1,1
301.1,1,1,1,1,1,1
301.2,1,1,1,1,1,1
301.3,1,1,1,1,1,1
301.4,1,1,1,1,1,1
301.5,1,1,1,1,1,1
301.6,1,1,1,1,1,1
301.7,1,1,1,1,1,1
301.8,1,1,1,1,1,1
301.9,1,1,1,1,1,1
302,1,1,1,1,1,1
302.1,1,1,1,1,1,1
302.2,1,1,1,1,1,1
302.3,1,1,1,1,1,1
302.4,1,1,1,1,1,1
302.5,1,1,1,1,1,1
302.6,1,1,1,1,1,1
302.7,1,1,1,1,1,1
302.8,1,1,1,1,1,1
302.9,1,1,1,1,1,1
303,1,1,1,1,1,1
303.1,1,1,1,1,1,1
303.2,1,1,1,1,1,1
303.3,1,1,1,1,1,1
303.4,1,1,1,1,1,1
303.5,1,1,1,1,1,1
303.6,1,1,1,1,1,1
303.7,1,1,1,1,1,1
303.8,1,1,1,1,1,1
303.9,1,1,1,1,1,1
304,1,1,1,1,1,1
304.1,1,1,1,1,1,1
304.2,1,1,1,1,1,1
304.3,1,1,1,1,1,1
304.4,1,1,1,1,1,1
304.5,1,1,1,1,1,1
304.6,1,1,1,1,1,1
304.7,1,1,1,1,1,1
304.8,1,1,1,1,1,1
304.9,1,1,1,1,1,1
305,1,1,1,1,1,1
305.1,1,1,1,1,1,1
305.2,1,1,1,1,1,1
305.3,1,1,1,1,1,1
305.4,1,1,1,1,1,1
305.5,1,1,1,1,1,1
305.6,1,1,1,1,1,1
305.7,1,1,1,1,1,1
305.8,1,1,1,1,1,1
305.9,1,1,1,1,1,1
306,1,1,1,1,1,1
306.1,1,1,1,1,1,1
306.2,1,1,1,1,1,1
306.3,1,1,1,1,1,1
306.4,1,1,1,1,1,1
306.5,1,1,1,1,1,1
306.6,1,1,1,1,1,1
306.7,1,1,1,1,1,1
306.8,1,1,1,1,1,1
306.9,1,1,1,1,1,1
307,1,1,1,1,1,1
307.1,1,1,1,1,1,1
307.2,1,1,1,1,1,1
307.3,1,1,1,1,1,1
307.4,1,1,1,1,1,1
307.5,1,1,1,1,1,1
307.6,1,1,1,1,1,1
307.7,1,1,1,1,1,1
307.8,1,1,1,1,1,1
307.9,1,1,1,1,1,1
308,1,1,1,1,1,1
308.1,1,1,1,1,1,1
308.2,1,1,1,1,1,1
308.3,1,1,1,1,1,1
308.4,1,1,1,1,1,1
308.5,1,1,1,1,1,1
308.6,1,1,1,1,1,1
308.7,1,1,1,1,1,1
308.8,1,1,1,1,1,1
308.9,1,1,1,1,1,1
309,1,1,1,1,1,1
309.1,1,1,1,1,1,1
309.2,1,1,1,1,1,1
309.3,1,1,1,1,1,1
309.4,1,1,1,1,1,1
309.5,1,1,1,1,1,1
309.6,1,1,1,1,1,1
309.7,1,1,1,1,1,1
309.8,1,1,1,1,1,1
309.9,1,1,1,1,1,1
310,1,1,1,1,1,1
310.1,1,1,1,1,1,1
310.2,1,1,1,1,1,1
310.3,1,1,1,1,1,1
310.4,1,1,1,1,1,1
310.5,1,1,1,1,1,1
310.6,1,1,1,1,1,1
310.7,1,1,1,1,1,1
310.8,1,1,1,1,1,1
310.9,1,1,1,1,1,1
311,1,1,1,1,1,1
311.1,1,1,1,1,1,1
311.2,1,1,1,1,1,1
311.3,1,1,1,1,1,1
311.4,1,1,1,1,1,1
311.5,1,1,1,1,1,1
311.6,1,1,1,1,1,1
311.7,1,1,1,1,1,1
311.8,1,1,1,1,1,1
311.9,1,1,1,1,1,1
312,1,1,1,1,1,1
312.1,1,1,1,1,1,1
312.2,1,1,1,1,1,1
