,Fx,Fy,Fz,Tx,Ty,Tz
8.7,-33.8974,-48.33263,14.44209,8.76156,-27.78184,6.262853
8.8,-44.9367,-29.45476,37.24201,5.815461,-24.77538,7.789812
8.9,-33.00161,-15.63328,14.62265,4.601636,-32.17157,3.964512
9,-33.3332,-6.05115,22.4559,2.631822,-31.96005,1.166417
9.1,-41.35926,-17.71626,26.42573,4.449754,-30.7163,3.938497
9.2,-36.55424,-12.43269,21.49067,4.183721,-31.89304,1.929403
9.3,-39.85214,-14.65862,19.37306,4.313168,-32.64395,2.726099
9.4,-39.38139,-13.50786,21.16018,3.932734,-32.10445,2.326851
9.5,-39.23805,-13.13771,21.05905,3.789216,-31.89241,2.517301
9.6,-40.20898,-15.45299,30.89178,4.446213,-28.89393,2.658063
9.7,-44.27914,-16.4343,25.78468,4.314775,-30.46445,2.664198
9.8,-51.84649,-8.92665,16.01237,4.273352,-30.65042,3.290895
9.9,-133.9383,-91.78726,93.40776,6.369455,-15.93524,-2.523469
10,-3.944313,-45.25863,68.48539,3.69712,-12.16925,6.54497
10.1,-60.52515,-33.15669,18.35955,4.382709,-30.63433,2.251954
10.2,-39.33644,6.482963,29.24987,0.490196,-27.67535,4.01681
10.3,-34.22031,-3.882538,13.80629,2.812664,-29.01151,1.236473
10.4,-59.68493,-5.999912,4.997825,1.991863,-34.32553,2.106386
10.5,-50.42449,-0.18665,7.084113,1.8038,-31.91517,0.981143
10.6,-53.90247,-6.569875,10.61684,2.217586,-31.96312,2.236453
10.7,-49.86986,-5.639425,10.64546,2.308833,-30.76921,2.06013
10.8,-47.76513,-7.040675,12.41736,2.618982,-31.16828,1.742869
10.9,-46.02729,-9.4359,13.77779,2.790485,-30.27933,2.304416
11,-47.45084,-8.053187,18.89098,3.002471,-31.57192,0.588794
11.1,-42.17273,-10.52064,16.86844,3.112577,-29.2101,2.135847
11.2,-116.7481,18.33531,65.18769,2.114972,-28.80404,3.917876
11.3,-95.13829,19.45835,-34.54903,1.678389,-47.73416,-0.14023
11.4,-38.33197,-6.56085,-15.34114,2.390344,-39.96755,0.618636
11.5,-26.75159,-55.50464,6.210338,10.24433,-26.78245,6.484909
