Time,Fx,Fy,Fz,Tx,Ty,Tz
8.9,-62.92147,11.68762,208.5063,2.639658,-27.78745,9.161559
9,-63.60266,23.96079,176.09,1.401668,-30.4339,8.113699
9.1,-62.09349,34.12161,131.7824,0.007579,-32.15442,8.388478
9.2,-56.55719,22.67574,123.6664,1.453601,-31.24822,9.824353
9.3,-58.6712,14.68507,133.0288,3.338295,-32.07154,10.90221
9.4,-61.69219,8.919375,223.8204,4.622656,-23.54926,8.273137
9.5,-58.51779,1.922263,287.9937,5.929679,-17.84454,7.067671
9.6,-63.26316,15.02771,291.3557,4.635346,-19.7229,7.214867
9.7,-60.43818,14.73475,255.4953,4.426845,-22.08505,7.660614
9.8,-40.23993,7.0511,206.4206,5.337648,-22.00588,9.054303
9.9,-49.31636,13.41519,208.7596,4.221436,-23.96342,9.92568
10,-60.70185,21.03171,202.7057,3.722898,-23.63132,8.117869
10.1,-59.2411,16.61534,197.4044,4.31067,-25.84144,9.090163
10.2,-62.45656,15.98965,204.6693,4.003079,-25.55645,9.939984
10.3,-59.36521,11.39482,200.7528,3.995169,-25.03142,9.962041
10.4,-57.41719,12.73366,201.0049,3.621502,-25.26714,9.815119
10.5,-63.17371,19.93076,201.6722,2.577493,-25.17544,9.962808
10.6,-60.00948,20.5554,205.5883,2.596942,-24.02272,9.85265
10.7,-58.39162,12.60773,198.9759,3.409383,-25.11537,9.875492
10.8,-61.67029,13.69295,204.5143,3.239218,-23.85945,9.918875
10.9,-60.27213,18.06874,200.4019,2.64618,-24.69544,9.937186
11,-63.32195,13.27343,207.7977,3.149065,-23.35286,9.956272
11.1,-69.63873,21.22916,203.9823,1.754594,-25.69212,9.898676
11.2,-60.97999,17.15862,202.2811,2.108517,-25.63371,10.37411
11.3,-57.41241,11.55696,205.5202,2.931958,-26.50465,10.53879
11.4,-49.04755,18.64875,199.5937,2.2435,-24.32492,10.21277
11.5,-51.21508,17.30244,202.3731,1.620636,-22.60777,-8.045473
11.6,-32.32929,-138.3362,360.8314,60.62231,-3.816059,44.425
11.7,-96.8536,66.33288,166.9843,-1.872188,-49.88242,-8.908713
11.8,-22.79852,-19.28526,197.9646,8.598995,-22.00563,18.24409
11.9,-78.37635,-32.06874,154.6765,9.39859,-43.07578,28.23087
12,-51.92849,10.92336,167.294,3.320602,-40.11573,11.61143
12.1,-95.05267,-16.13783,171.5855,5.490898,-42.58702,17.18231
12.2,-125.7621,-39.37941,191.0842,7.477691,-44.16046,17.07342
12.3,-157.5882,-37.46176,180.1131,7.838507,-52.93887,22.94508
